@RELATION INCRARR_27_30_complete
@ATTRIBUTE a_1 NUMERIC
@ATTRIBUTE a_2 NUMERIC
@ATTRIBUTE a_3 NUMERIC
@ATTRIBUTE a_4 NUMERIC
@ATTRIBUTE a_5 NUMERIC
@ATTRIBUTE a_6 NUMERIC
@ATTRIBUTE a_7 NUMERIC
@ATTRIBUTE a_8 NUMERIC
@ATTRIBUTE a_9 NUMERIC
@ATTRIBUTE a_10 NUMERIC
@ATTRIBUTE a_11 NUMERIC
@ATTRIBUTE a_12 NUMERIC
@ATTRIBUTE a_13 NUMERIC
@ATTRIBUTE a_14 NUMERIC
@ATTRIBUTE a_15 NUMERIC
@ATTRIBUTE a_16 NUMERIC
@ATTRIBUTE a_17 NUMERIC
@ATTRIBUTE a_18 NUMERIC
@ATTRIBUTE a_19 NUMERIC
@ATTRIBUTE a_20 NUMERIC
@ATTRIBUTE a_21 NUMERIC
@ATTRIBUTE a_22 NUMERIC
@ATTRIBUTE a_23 NUMERIC
@ATTRIBUTE a_24 NUMERIC
@ATTRIBUTE a_25 NUMERIC
@ATTRIBUTE a_26 NUMERIC
@ATTRIBUTE a_27 NUMERIC
@ATTRIBUTE a_28 NUMERIC
@ATTRIBUTE a_29 NUMERIC
@ATTRIBUTE a_30 NUMERIC
@ATTRIBUTE a_31 NUMERIC
@ATTRIBUTE a_32 NUMERIC
@ATTRIBUTE a_33 NUMERIC
@ATTRIBUTE a_34 NUMERIC
@ATTRIBUTE a_35 NUMERIC
@ATTRIBUTE a_36 NUMERIC
@ATTRIBUTE a_37 NUMERIC
@ATTRIBUTE a_38 NUMERIC
@ATTRIBUTE a_39 NUMERIC
@ATTRIBUTE a_40 NUMERIC
@ATTRIBUTE a_41 NUMERIC
@ATTRIBUTE a_42 NUMERIC
@ATTRIBUTE a_43 NUMERIC
@ATTRIBUTE a_44 NUMERIC
@ATTRIBUTE a_45 NUMERIC
@ATTRIBUTE a_46 NUMERIC
@ATTRIBUTE a_47 NUMERIC
@ATTRIBUTE a_48 NUMERIC
@ATTRIBUTE a_49 NUMERIC
@ATTRIBUTE a_50 NUMERIC
@ATTRIBUTE a_51 NUMERIC
@ATTRIBUTE a_52 NUMERIC
@ATTRIBUTE a_53 NUMERIC
@ATTRIBUTE a_54 NUMERIC
@ATTRIBUTE a_55 NUMERIC
@ATTRIBUTE a_56 NUMERIC
@ATTRIBUTE a_57 NUMERIC
@ATTRIBUTE a_58 NUMERIC
@ATTRIBUTE a_59 NUMERIC
@ATTRIBUTE a_60 NUMERIC
@ATTRIBUTE a_61 NUMERIC
@ATTRIBUTE a_62 NUMERIC
@ATTRIBUTE a_63 NUMERIC
@ATTRIBUTE a_64 NUMERIC
@ATTRIBUTE a_65 NUMERIC
@ATTRIBUTE a_66 NUMERIC
@ATTRIBUTE a_67 NUMERIC
@ATTRIBUTE a_68 NUMERIC
@ATTRIBUTE a_69 NUMERIC
@ATTRIBUTE a_70 NUMERIC
@ATTRIBUTE a_71 NUMERIC
@ATTRIBUTE a_72 NUMERIC
@ATTRIBUTE a_73 NUMERIC
@ATTRIBUTE a_74 NUMERIC
@ATTRIBUTE a_75 NUMERIC
@ATTRIBUTE a_76 NUMERIC
@ATTRIBUTE a_77 NUMERIC
@ATTRIBUTE a_78 NUMERIC
@ATTRIBUTE a_79 NUMERIC
@ATTRIBUTE a_80 NUMERIC
@ATTRIBUTE a_81 NUMERIC
@ATTRIBUTE class  {bathtub,bed,chair,desk,dresser,monitor,night_stand,sofa,table,toilet}
@DATA
0.00113187,0.00169893,0.00424485,0.00163916,0.0010515,0.00147963,0.00263178,0.0015454,0.00113187,0.0020258,0.00566302,0.00210512,0.0010515,0.00161222,0.00298721,0.00171396,0.00113187,0.00169647,0.004241,0.0016432,0.0010515,0.00147497,0.0026279,0.00154717,0.00430021,0.0010515,0.00113187,2.72651,2.55562,2.03209,2.56731,2.7704,2.60909,2.23066,2.57215,2.72651,2.41364,1.71358,2.3987,2.7704,2.56038,2.13492,2.51131,2.72651,2.55677,2.03248,2.5667,2.7704,2.61057,2.23139,2.5719,1.87192,2.7704,2.72651,0.0384202,0.0256833,0.0138602,0.0245994,0.0398935,0.0199494,0.0133303,0.0189978,0.0384202,0.0173991,0.011162,0.0172127,0.0398935,0.0181004,0.012752,0.017115,0.0384202,0.0259385,0.013867,0.02457,0.0398935,0.0199986,0.0133426,0.0189904,0.0567023,0.0398935,0.0384202,bathtub
0.000997689,0.00121491,0.002656,0.00124015,0.00100894,0.0011892,0.00235765,0.00119802,0.000997689,0.0017539,0.00509468,0.00176663,0.00100894,0.0016957,0.00398144,0.00167585,0.000997689,0.00119173,0.00241822,0.0011931,0.00100894,0.00122047,0.00245204,0.0011912,0.00359222,0.00100894,0.000997689,2.80204,2.72664,2.30787,2.71851,2.80176,2.73069,2.34381,2.72667,2.80204,2.52761,1.83114,2.51281,2.80176,2.52826,1.94012,2.53885,2.80204,2.73329,2.34103,2.73227,2.80176,2.71728,2.33848,2.73058,2.02962,2.80176,2.80204,0.0489631,0.0251182,0.012962,0.0251872,0.0494562,0.0246159,0.0128703,0.0236093,0.0489631,0.0152294,0.00992651,0.0149384,0.0494562,0.0152999,0.0102471,0.0153604,0.0489631,0.0255784,0.013087,0.0257845,0.0494562,0.0236656,0.0130648,0.0245008,0.0461631,0.0494562,0.0489631,bathtub
0.000970122,0.0015082,0.00444167,0.00161919,0.00104561,0.00165289,0.00273197,0.00149038,0.000970122,0.00197715,0.00837061,0.0021215,0.00104561,0.00187874,0.00360575,0.00175298,0.000970122,0.00150283,0.00444391,0.00161713,0.00104561,0.00165217,0.00272935,0.00149033,0.00454272,0.00104561,0.000970122,2.79424,2.59169,1.98494,2.55633,2.75805,2.50843,2.19923,2.58255,2.79424,2.4158,1.37388,2.35895,2.75805,2.4702,2.00762,2.50893,2.79424,2.59279,1.98501,2.55672,2.75805,2.50855,2.19975,2.58243,1.83446,2.75805,2.79424,0.0464768,0.0238997,0.0141003,0.0225828,0.0505817,0.0182025,0.013548,0.0196164,0.0464768,0.0158625,0.010638,0.0160929,0.0505817,0.0162591,0.0120217,0.0168288,0.0464768,0.0239158,0.014108,0.0226011,0.0505817,0.0182295,0.0135639,0.0195762,0.0540609,0.0505817,0.0464768,bathtub
0.00101924,0.0015439,0.00378797,0.00153796,0.00102099,0.0015133,0.00265227,0.00151319,0.00101924,0.00183967,0.00477479,0.00183084,0.00102099,0.00169342,0.0034763,0.00169119,0.00101924,0.00154145,0.00323692,0.00154316,0.00102099,0.00145745,0.00257643,0.00145428,0.00486209,0.00102099,0.00101924,2.78141,2.58042,2.1389,2.5814,2.78179,2.58245,2.28349,2.58222,2.78141,2.48648,1.86906,2.48703,2.78179,2.53916,2.09983,2.53916,2.78141,2.56739,2.2337,2.56626,2.78179,2.60728,2.32924,2.60665,1.83491,2.78179,2.78141,0.0445276,0.0227339,0.0145332,0.0227407,0.0445444,0.0191536,0.0146456,0.0191501,0.0445276,0.0161614,0.011308,0.0161645,0.0445444,0.017206,0.0119018,0.0171813,0.0445276,0.0205024,0.0186286,0.0205305,0.0445444,0.0210273,0.0145556,0.0210218,0.0522422,0.0445444,0.0445276,bathtub
0.00108232,0.00113012,0.00209833,0.0011152,0.0010725,0.00100319,0.00185334,0.00109822,0.00108232,0.00181284,0.00528512,0.00196619,0.0010725,0.00148706,0.00338362,0.00170523,0.00108232,0.00113821,0.00210047,0.00111391,0.0010725,0.000999029,0.00188509,0.00114559,0.00426846,0.0010725,0.00108232,2.79384,2.77623,2.45643,2.78436,2.82234,2.80889,2.49427,2.77116,2.79384,2.51801,1.77969,2.49995,2.82234,2.60192,2.07779,2.54036,2.79384,2.77261,2.45047,2.78626,2.82234,2.81251,2.48625,2.74694,1.96966,2.82234,2.79384,0.0480306,0.0327406,0.0143545,0.0289833,0.0479536,0.0285947,0.0138235,0.0260975,0.0480306,0.0142923,0.00902571,0.013411,0.0479536,0.0152086,0.00980261,0.0137054,0.0480306,0.0302521,0.0141472,0.0306237,0.0479536,0.0305492,0.0137532,0.0222481,0.0347231,0.0479536,0.0480306,bathtub
0.00104007,0.00147267,0.00371518,0.00151848,0.000930847,0.00134383,0.00255781,0.00139941,0.00104007,0.0019346,0.00623644,0.00223723,0.000930847,0.00155221,0.00309598,0.00166703,0.00104007,0.00138632,0.00321367,0.00144093,0.000930847,0.00129153,0.0025159,0.00136268,0.0036396,0.000930847,0.00104007,2.78371,2.64791,2.11144,2.64102,2.81171,2.65968,2.26589,2.63488,2.78371,2.42984,1.66151,2.37914,2.81171,2.58561,2.1171,2.55369,2.78371,2.66829,2.17416,2.66006,2.81171,2.68776,2.2823,2.65917,1.99836,2.81171,2.78371,0.046403,0.025516,0.0127953,0.024832,0.0482539,0.0197334,0.0125501,0.0190431,0.046403,0.0161488,0.010477,0.0155002,0.0482539,0.0173876,0.0118304,0.0166569,0.046403,0.0267381,0.013211,0.0262818,0.0482539,0.0213207,0.0128033,0.0202601,0.0521706,0.0482539,0.046403,bathtub
0.000896454,0.00114452,0.00217424,0.00122695,0.00095728,0.00117475,0.00190554,0.00115049,0.000896454,0.00184443,0.00604241,0.00211751,0.00095728,0.00186819,0.00414539,0.00189276,0.000896454,0.00109108,0.00196502,0.00118622,0.00095728,0.00118824,0.00186381,0.00117489,0.00338414,0.00095728,0.000896454,2.84782,2.75141,2.37584,2.71912,2.82133,2.73982,2.46853,2.75574,2.84782,2.49561,1.68076,2.40979,2.82133,2.48321,1.92353,2.49474,2.84782,2.77958,2.47626,2.74799,2.82133,2.73189,2.47654,2.74168,2.09585,2.82133,2.84782,0.0465385,0.0255263,0.0130959,0.0237325,0.0506101,0.0231864,0.0136376,0.0237391,0.0465385,0.0141298,0.00947686,0.0133616,0.0506101,0.01408,0.00994005,0.0139581,0.0465385,0.0285595,0.0143697,0.0269844,0.0506101,0.0235282,0.0140422,0.0232168,0.0477296,0.0506101,0.0465385,bathtub
0.000973728,0.00163877,0.00413127,0.00164245,0.000981786,0.00166208,0.00322007,0.00166317,0.000973728,0.00207218,0.00694842,0.00207174,0.000981786,0.00196664,0.00455765,0.00197172,0.000973728,0.00165201,0.00404107,0.00164364,0.000981786,0.00163056,0.00320588,0.00163553,0.00372913,0.000981786,0.000973728,2.79671,2.54421,1.97137,2.54325,2.79503,2.53811,2.09892,2.53762,2.79671,2.40142,1.5864,2.40139,2.79503,2.45628,1.83274,2.45501,2.79671,2.53997,1.99318,2.54157,2.79503,2.54369,2.09774,2.54192,1.99831,2.79503,2.79671,0.0531243,0.0204661,0.0131836,0.0204561,0.0519961,0.0186654,0.0130071,0.0186736,0.0531243,0.0161305,0.0112253,0.0161565,0.0519961,0.0165578,0.0117444,0.0165547,0.0531243,0.0202639,0.0135293,0.0203205,0.0519961,0.018898,0.0130683,0.0188367,0.0867995,0.0519961,0.0531243,bathtub
0.000918653,0.00120627,0.00213765,0.00119277,0.000920137,0.00117232,0.00177459,0.00123593,0.000918653,0.0018049,0.00492017,0.00189305,0.000920137,0.00173388,0.00378583,0.00180492,0.000918653,0.00122142,0.00194193,0.00119943,0.000920137,0.00118913,0.0019919,0.00127314,0.00330821,0.000920137,0.000918653,2.83316,2.72465,2.42884,2.73124,2.83879,2.75488,2.50792,2.73251,2.83316,2.50749,1.79915,2.49491,2.83879,2.52901,1.96661,2.50869,2.83316,2.74234,2.48766,2.75597,2.83879,2.72536,2.43379,2.69502,2.11024,2.83879,2.83316,0.0404876,0.0261283,0.0149806,0.0262954,0.0408275,0.0243436,0.0146699,0.0238319,0.0404876,0.0143693,0.00988114,0.0141673,0.0408275,0.0147871,0.010484,0.0143514,0.0404876,0.0259962,0.0148847,0.0267974,0.0408275,0.0243674,0.014097,0.0216895,0.0519685,0.0408275,0.0404876,bathtub
0.00118552,0.00212207,0.00690324,0.00206351,0.00109255,0.00143532,0.00282214,0.00148921,0.00118552,0.00153002,0.00266103,0.00147134,0.00109255,0.00150014,0.00343966,0.00139905,0.00118552,0.00139625,0.00257273,0.00133623,0.00109255,0.00170354,0.00488223,0.00157483,0.00292604,0.00109255,0.00118552,2.7174,2.4717,1.56454,2.45705,2.74272,2.63969,2.24276,2.62972,2.7174,2.65041,2.24421,2.64221,2.74272,2.62741,2.13119,2.65117,2.7174,2.63533,2.33248,2.65284,2.74272,2.597,1.93871,2.63797,2.13911,2.74272,2.7174,0.0282985,0.0238568,0.0102885,0.0278782,0.0298518,0.0180552,0.0123282,0.0178664,0.0282985,0.0210123,0.0130654,0.0204227,0.0298518,0.0196817,0.0113744,0.0212757,0.0282985,0.020329,0.0143935,0.0206207,0.0298518,0.0453291,0.0126274,0.0487363,0.0713513,0.0298518,0.0282985,bathtub
